word;translation;comment
op één lijn zitten; an einem Strang ziehen (1); Nur wenn sie an einem Strang ziehen, können sie das Schiff manövrieren.
samenwerken; an einem Strang ziehen (2); Nur wenn sie an einem Strang ziehen, können sie das Schiff manövrieren.
van deze tijd; zeitgemäß (1); Ist diese harte Ausbildung zeitgemäß?
modern; zeitgemäß (2); Ist diese harte Ausbildung zeitgemäß?
aanzienlijk; erheblich; Wir müssen die Sicherheit erheblich verbessern.
ingericht zijn met; ausgestattet sein mit (1); Die Gorch Fock ist nur mit dem Nötigsten ausgestattet
uitgerust zijn met; ausgestattet sein mit (2); Die Gorch Fock ist nur mit dem Nötigsten ausgestattet
afstand doen van; verzichten auf; Darauf wollte Alice nicht verzichten
hhet verlangen; die Sehnsucht; Morgens ist die Sehnsucht nach einem heißen Kaffee groß.
